community,tf_idf_term1,tf_idf_term2,tf_idf_term3
1,welfare,welfare state,real freedom capitalism
1,social,real freedom,european welfare state
1,state,social policy,social security future
1,policy,technological unemployment,conditional cash transfer
1,work,distributive justice,proposal free society
1,justice,right work,radical proposal free
1,freedom,political economy,free society economy
1,case,social security,justice van parijs
1,right,social justice,justice individual ethic
1,support,van parijs,welfare state case
1,political,left right,money gender analysis
1,politics,capitalist road,gender justice cost
1,guarantee,political feasibility,liberal socialism work
1,economy,attitude toward,proposal welfare state
1,experiment,real utopia,solidarity welfare state
1,citizen,social democracy,public programme cost
1,public,public support,welfare state attitude
1,capitalism,european welfare,revolution america guaranteed
1,economic,labour market,welfare revolution america
1,debate,new welfare,minimum welfare state
2,tax,job guarantee,mechanism evaluation model
2,welfare,social security,reform social security
2,social,welfare state,efficiency argument guaranteed
2,policy,full employment,simulation european country
2,unemployment,guaranteed minimum,based taxation wage
2,minimum,labour supply,gender based taxation
2,optimal,real freedom,taxation wage subsidy
2,negative,labor supply,full employment social
2,reform,european country,reform germany better
2,taxation,tax credit,versus unemployment insurance
2,employment,tax transfer,case europe empirical
2,europe,social welfare,empirical optimal taxation
2,scheme,social assistance,europe empirical optimal
2,poverty,welfare reform,tax transfer system
2,security,social insurance,benefit simulation study
2,guarantee,public economics,real freedom capitalism
2,work,political economy,tax microsimulation choice
2,supply,optimal taxation,inequality optimal redistribution
2,job,employment policy,employment policy australia
2,economic,right work,note theory justice
3,experiment,labor supply,labor supply response
3,effect,welfare state,alaska permanent fund
3,tax,cash transfer,rethinking welfare state
3,social,effect negative,labor market effect
3,negative,maintenance experiment,conditional cash transfer
3,policy,tax experiment,impact alternative strategy
3,health,labor market,guaranteed employment guaranteed
3,program,work incentive,general impact alternative
3,evidence,social assistance,program developing country
3,labor,labour supply,transfer program developing
3,work,social experiment,evidence alaska permanent
3,impact,supply response,social security review
3,welfare,tax program,canada social security
3,case,market socialism,employment market effect
3,poverty,mental health,efficiency cost tax
3,response,united state,cost tax attitude
3,supply,evidence alaska,fiscal distributional effect
3,guaranteed,social policy,brazil fiscal distributional
3,state,market effect,effect alternative scheme
3,pilot,transfer program,distributional effect alternative
4,degrowth,south africa,poverty south africa
4,south,social policy,grant south africa
4,social,sustainable consumption,reform south africa
4,africa,poverty south,welfare south africa
4,policy,grant south,problem work politics
4,grant,reform south,transition social case
4,welfare,ecological effect,change social policy
4,ecological,social security,challenge inequality growth
4,work,ecological economics,alaska model state
4,sustainable,united state,credit system implication
4,poverty,cash transfer,sustainable consumption reduction
4,case,sustainable welfare,growth degrowth within
4,state,social movement,degrowth job guarantee
4,sustainability,work social,degrowth social movement
4,transition,welfare state,work social policy
4,growth,working time,south solidarity grant
4,participation,social sustainability,democracy future south
4,money,social justice,worker digital economy
4,time,ecological social,good life within
4,system,social assistance,social dynamic degrowth
5,germany,labour market,policy germany status
5,korea,germany status,germany status protection
5,welfare,policy germany,justification welfare state
5,market,status protection,review transfer state
5,state,labor market,employment welfare recipient
5,policy,rethinking welfare,transition egalitarian development
5,labor,social policy,free economy state
5,german,welfare state,unemployment lesson germany
5,recipient,justification welfare,poverty germany empirical
5,care,reform germany,german labour market
5,discourse,south korea,labour market policy
5,perspective,german labour,policy reform germany
5,scheme,policy reform,state guaranteed minimum
5,unemployment,case germany,german job workfare
5,benefit,market policy,better better politics
5,social,employment welfare,market unemployment europe
5,feminist,guarantee scheme,different better better
5,reform,review transfer,job workfare scheme
5,labour,precarious worker,labor market unemployment
5,status,state guaranteed,alternative social security
