community,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,id_most_used_ref,n_most_used_ref,share_most_used_ref
1,Law,784,0.7069431920649234,Philippe Van Parijs,Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),https://openalex.org/W2325247757,89,0.02923784494086728
1,Market economy,456,0.41118124436429215,Jürgen De Wispelaere,Basic Income: A Simple and Powerful Idea for the Twenty-First Century,Philippe Van Parijs (2004),https://openalex.org/W2006784025,67,0.022010512483574246
1,Public economics,368,0.3318304779080252,Yannick Vanderborght,Basic Income,Philippe Van Parijs et Yannick Vanderborght (2017),https://openalex.org/W4249308963,56,0.018396846254927726
1,Economic growth,258,0.23264201983769162,Karl Widerquist,Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),https://openalex.org/W2168139370,50,0.0164257555847569
1,Law and economics,245,0.22091974752028856,Lindsay Stirton,The Case for a Participation Income,Anthony B. Atkinson (1996),https://openalex.org/W1980797821,47,0.015440210249671484
1,Labour economics,214,0.19296663660955815,Guy Standing,Democratizing Citizenship: Some Advantages of a Basic Income,Carole Pateman (2004),https://openalex.org/W2150200080,41,0.013469119579500657
1,Mechanical engineering,168,0.151487826871055,Simon Birnbaum,The Many Faces of Universal Basic Income,Jürgen De Wispelaere et Lindsay Stirton (2004),https://openalex.org/W2016276511,37,0.012155059132720105
1,Positive economics,155,0.13976555455365194,Carole Pateman,"Liberal Equality, Exploitation, and the Case for an Unconditional Basic Income",Stuart White (1997),https://openalex.org/W2017475875,31,0.010183968462549276
1,Finance,152,0.13706041478809738,Erik Olín Wright,Beyond the new paternalism: basic security as equality,,https://openalex.org/W77078688,29,0.009526938239159002
1,Political economy,146,0.13165013525698827,Ingrid Robeyns,The precariat: the new dangerous class,Martin G. Allen et Patrick Ainley (2011),https://openalex.org/W2153369576,28,0.009198423127463863
1,Epistemology,128,0.11541929666366095,Loek Groot,A failure to communicate: what (if anything) can we learn from the negative income tax experiments?,Karl Widerquist (2005),https://openalex.org/W2064212453,27,0.008869908015768726
1,Development economics,124,0.11181244364292155,Stuart White,"Independence, Propertylessness, and Basic Income",Karl Widerquist (2013),https://openalex.org/W2484862404,27,0.008869908015768726
1,Mathematical analysis,113,0.1018935978358882,Ailsa McKay,Basic income. An anthology of contemporary research.,Yannick Vanderborght (2013),https://openalex.org/W1562268590,26,0.008541392904073587
1,Linguistics,101,0.09107303877366997,Daniel Raventós,Basic Income Reconsidered,Simon Birnbaum (2012),https://openalex.org/W4238417458,26,0.008541392904073587
1,Archaeology,101,0.09107303877366997,Barbara R. Bergmann,A capitalist road to communism,Robert J. van der Veen et Philippe Van Parijs (1986),https://openalex.org/W2112303931,24,0.00788436268068331
2,Market economy,239,0.5584112149532711,Ugo Colombino,Public economics in action: the basic income/flat tax proposal,,https://openalex.org/W1489554691,27,0.029605263157894735
2,Law,201,0.4696261682242991,Philippe Van Parijs,Optimal Income Transfer Programs: Intensive versus Extensive Labor Supply Responses,Emmanuel Saez (2002),https://openalex.org/W3121920701,22,0.02412280701754386
2,Public economics,200,0.4672897196261682,Emmanuel Saez,Real freedom for all,Philippe Van Parijs (1995),https://openalex.org/W1676072121,16,0.017543859649122806
2,Labour economics,178,0.4158878504672897,Rolf Aaberge,"Labour supply in Italy: an empirical analysis of joint household decisions, with taxes and quantity constraints",Rolf Aaberge et al. (1999),https://openalex.org/W2003118126,15,0.01644736842105263
2,Economic growth,125,0.29205607476635514,Steinar Strøm,Do more equal slices shrink the cake? An empirical investigation of tax-transfer reform proposals in Italy,Rolf Aaberge et al. (2004),https://openalex.org/W2027029055,15,0.01644736842105263
2,Microeconomics,83,0.1939252336448598,Cathal O’Donoghue,Public Economics in Action: The Basic Income/Flat Tax Proposal,A. B. Atkinson (1996),https://openalex.org/W3148404943,13,0.01425438596491228
2,Mechanical engineering,81,0.18925233644859812,Guy Standing,Freedom and Security: An Introduction to the Basic Income Debate,Rodney Haddow et Tony Fitzpatrick (2001),https://openalex.org/W580935276,12,0.013157894736842105
