community,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,id_most_used_ref,n_most_used_ref,share_most_used_ref
1,Law,784,0.7069431920649234,Peter Saunders,A Guaranteed Minimum Income Scheme for Australia? Some Problems<sup>1</sup>,Peter Saunders (1976),https://openalex.org/W2265308498,1.0,1.0
1,Market economy,456,0.41118124436429215,,,,,,
1,Public economics,368,0.3318304779080252,,,,,,
1,Economic growth,258,0.23264201983769162,,,,,,
1,Law and economics,245,0.22091974752028856,,,,,,
1,Labour economics,214,0.19296663660955815,,,,,,
1,Mechanical engineering,168,0.151487826871055,,,,,,
1,Positive economics,155,0.13976555455365194,,,,,,
1,Finance,152,0.13706041478809738,,,,,,
1,Political economy,146,0.13165013525698827,,,,,,
1,Epistemology,128,0.11541929666366095,,,,,,
1,Development economics,124,0.11181244364292155,,,,,,
1,Mathematical analysis,113,0.1018935978358882,,,,,,
1,Linguistics,101,0.09107303877366997,,,,,,
1,Archaeology,101,0.09107303877366997,,,,,,
2,Market economy,239,0.5584112149532711,Anthony B. Atkinson,The Tax Credit Scheme and the Redistribution of Income.,Anthony B. Atkinson (1974),https://openalex.org/W2160300036,4.0,0.2222222222222222
2,Law,201,0.4696261682242991,John J. Isenhower,Negative Taxes and the Poverty Problem,John J. Isenhower (1968),https://openalex.org/W2510840972,3.0,0.16666666666666666
2,Public economics,200,0.4672897196261682,Joseph E. Stiglitz,The design of tax structure: Direct versus indirect taxation,Anthony B. Atkinson et Joseph E. Stiglitz (1976),https://openalex.org/W2168838273,2.0,0.1111111111111111
2,Labour economics,178,0.4158878504672897,James Tobin,Capitalism and Freedom,Milton Friedman (1962),https://openalex.org/W1559924327,1.0,0.05555555555555555
2,Economic growth,125,0.29205607476635514,Milton Friedman,The Relief of Poverty: Negative Income Taxes and Other Measures*,B. F. Henderson (1971),https://openalex.org/W2119625862,1.0,0.05555555555555555
2,Microeconomics,83,0.1939252336448598,B. F. Henderson,Government Against Poverty.,Joseph A. Kershaw et Paul N. Courant (1972),https://openalex.org/W2090347708,1.0,0.05555555555555555
2,Mechanical engineering,81,0.18925233644859812,Joseph A. Kershaw,Is a Negative Income Tax Practical?,James Tobin et al. (1967),https://openalex.org/W4256487331,1.0,0.05555555555555555
2,Mathematical analysis,80,0.18691588785046728,Paul N. Courant,"Taxes, family grants and redistribution",Michael Bruno et Jack Habib (1976),https://openalex.org/W2056617855,1.0,0.05555555555555555
2,Macroeconomics,77,0.17990654205607476,Joseph A. Pechman,"Work Response to Income Maintenance: Economic, Sociological, and Cultural Perspectives",Sonia R. Wright (1975),https://openalex.org/W2152073090,1.0,0.05555555555555555
2,Finance,66,0.1542056074766355,Peter Mieszkowski,A Guaranteed Minimum Income Scheme for Australia? Some Problems<sup>1</sup>,Peter Saunders (1976),https://openalex.org/W2265308498,1.0,0.05555555555555555
2,Demographic economics,51,0.1191588785046729,Michael Bruno,On Limiting the Domain of Inequality,James Tobin (1970),https://openalex.org/W4376595955,1.0,0.05555555555555555
2,Development economics,43,0.10046728971962617,Jack Habib,The Effect of Taxation on Labor Supply: Evaluating the Gary Negative Income Tax Experiment,Gary Burtless et Jerry A. Hausman (1978),https://openalex.org/W1996567072,1.0,0.05555555555555555
2,Law and economics,42,0.09813084112149532,Sonia R. Wright,,,,,
2,Linguistics,37,0.08644859813084112,Peter Saunders,,,,,
2,Econometrics,35,0.08177570093457943,Gary Burtless,,,,,
3,Market economy,368,0.4717948717948718,Christopher Green,Negative Taxes and Monetary Incentives to Work: The Static Theory,Christopher Green (1968),https://openalex.org/W2279741972,5.0,0.125
3,Law,325,0.4166666666666667,Michael C. Keeley,The Labor-Supply Effects and Costs of Alternative Negative Income Tax Programs,Michael C. Keeley et al. (1978),https://openalex.org/W1587444279,4.0,0.1
3,Public economics,320,0.41025641025641024,Philip K. Robins,The Effects of Welfare Programs on Experimental Responses,Irwin Garfinkel (1974),https://openalex.org/W216113217,3.0,0.075
3,Economic growth,259,0.33205128205128204,Robert G. Spiegelman,Capitalism and Freedom,Milton Friedman (1962),https://openalex.org/W1559924327,3.0,0.075
3,Labour economics,205,0.26282051282051283,Richard W. West,"Labor-Supply Effects of Income, Income-Work, and Wage Subsidies",Jonathan R. Kesselman (1969),https://openalex.org/W294349945,3.0,0.075
3,Finance,163,0.20897435897435898,Irwin Garfinkel,Simple Dynamic Effects in Work-Leisure Choice: A Skeptical Comment on the Static Theory,John Conlisk (1968),https://openalex.org/W2216732643,3.0,0.075
3,Demographic economics,129,0.16538461538461538,Jerry A. Hausman,The Labor-Supply Response of Husbands,Harold W. Watts (1974),https://openalex.org/W1567167677,2.0,0.05
3,Mechanical engineering,113,0.14487179487179488,Milton Friedman,The Effect of Taxation on Labor Supply: Evaluating the Gary Negative Income Tax Experiment,Gary Burtless et Jerry A. Hausman (1978),https://openalex.org/W1996567072,2.0,0.05
3,Macroeconomics,105,0.1346153846153846,Jonathan R. Kesselman,Predicting the Effects of Permanent Programs from a Limited Duration Experiment,Charles E. Metcalf (1974),https://openalex.org/W214256899,2.0,0.05
3,Development economics,105,0.1346153846153846,John Conlisk,The Effects of Taxation on Risk Taking,Martin Feldstein (1969),https://openalex.org/W2083818924,1.0,0.025
3,Mathematical analysis,90,0.11538461538461539,Harold W. Watts,Attrition Bias in Experimental and Panel Data: The Gary Income Maintenance Experiment,Jerry A. Hausman et David A. Wise (1979),https://openalex.org/W2061127918,1.0,0.025
3,Microeconomics,85,0.10897435897435898,Gary Burtless,Income Maintenance and the Rural Poor: An Experimental Approach,David Bawden (1970),https://openalex.org/W2278871656,1.0,0.025
3,Linguistics,69,0.08846153846153847,Charles E. Metcalf,The Labor-Supply Response of the Family,Robinson G. Hollister (1974),https://openalex.org/W267512904,1.0,0.025
3,Demography,62,0.07948717948717948,Martin Feldstein,A Negative-Income-Tax Experiment,David N. Kershaw (1972),https://openalex.org/W2060903017,1.0,0.025
