community,tf_idf_term1,tf_idf_term2,tf_idf_term3,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,title_most_cited_UBI,bib_most_cited_UBI,title_most_cited_global,bib_most_cited_global,id_most_used_ref,n_most_used_ref,share_most_used_ref,id_most_cited_UBI,n_most_cited_UBI,share_most_cited_UBI,id_most_cited_global,n_most_cited_global,share_most_cited_global
1,tax,south africa,poverty south africa,Economics,420,0.9395973154362416,Philippe Van Parijs,Public economics in action: the basic income/flat tax proposal,,Public economics in action: the basic income/flat tax proposal,,"The General Theory of Employment, Interest and Money, <i>by John Maynard Keynes</i>",John Maynard Keynes (1936),https://openalex.org/W1489554691,31,0.026271186440677965,https://openalex.org/W1489554691,42,0.032407407407407406,https://openalex.org/W2013860961,3492,0.13364460943778944
1,welfare,social security,full employment social,Political science,236,0.5279642058165548,Ugo Colombino,Optimal Income Transfer Programs: Intensive versus Extensive Labor Supply Responses,Emmanuel Saez (2002),Public Economics in Action: The Basic Income/Flat Tax Proposal,A. B. Atkinson (1996),Capitalism and Freedom,Milton Friedman (1962),https://openalex.org/W3121920701,22,0.01864406779661017,https://openalex.org/W3148404943,40,0.030864197530864196,https://openalex.org/W1559924327,3184,0.12185694056412415
1,social,job guarantee,reform south africa,Sociology,115,0.25727069351230425,Anthony B. Atkinson,Real freedom for all,Philippe Van Parijs (1995),Optimal Income Transfer Programs: Intensive versus Extensive Labor Supply Responses,Emmanuel Saez (2002),The design of tax structure: Direct versus indirect taxation,Anthony B. Atkinson et Joseph E. Stiglitz (1976),https://openalex.org/W1676072121,18,0.015254237288135594,https://openalex.org/W3121920701,34,0.026234567901234566,https://openalex.org/W2168838273,1333,0.05101611236557082
1,policy,welfare state,mechanism evaluation model,Computer science,112,0.2505592841163311,Rolf Aaberge,Public Economics in Action: The Basic Income/Flat Tax Proposal,A. B. Atkinson (1996),Real freedom for all,Philippe Van Parijs (1995),The Impossibility of a Paretian Liberal,Amartya Sen (1970),https://openalex.org/W3148404943,17,0.01440677966101695,https://openalex.org/W1676072121,31,0.023919753086419752,https://openalex.org/W1993313925,1126,0.043093880362815265
1,unemployment,full employment,reform social security,Mathematics,111,0.2483221476510067,Emmanuel Saez,Capitalism and Freedom,Milton Friedman (1962),Capitalism and Freedom,Milton Friedman (1962),"Individual welfare, majority voting, and the properties of a linear income tax",Thomas Römer (1975),https://openalex.org/W1559924327,15,0.012711864406779662,https://openalex.org/W1559924327,29,0.022376543209876542,https://openalex.org/W2036818645,756,0.028933369053542043
1,optimal,labour supply,efficiency argument guaranteed,Engineering,109,0.24384787472035793,Steinar Strøm,"Labour supply in Italy: an empirical analysis of joint household decisions, with taxes and quantity constraints",Rolf Aaberge et al. (1999),Is a Negative Income Tax Practical?,James Tobin et al. (1967),The Theory of Wages.,G. F. Shove et John Hicks (1933),https://openalex.org/W2003118126,15,0.012711864406779662,https://openalex.org/W4256487331,28,0.021604938271604937,https://openalex.org/W2798213597,653,0.024991388878257876
1,poverty,guaranteed minimum,simulation european country,Philosophy,90,0.20134228187919462,Karl Widerquist,Do more equal slices shrink the cake? An empirical investigation of tax-transfer reform proposals in Italy,Rolf Aaberge et al. (2004),Public Economics in Action,Anthony B. Atkinson (1996),The Decline of the Male Breadwinner Model: Implications for Work and Care,Jane Lewis (2001),https://openalex.org/W2027029055,15,0.012711864406779662,https://openalex.org/W3147703848,21,0.016203703703703703,https://openalex.org/W1968337168,630,0.0241111408779517
1,reform,welfare reform,based taxation wage,Business,68,0.15212527964205816,Loek Groot,Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),"Basic Income, Inequality, and Unemployment: Rethinking the Linkage between Work and Welfare",Chris Clark et C. J. Kavanagh (1996),Optimal Income Transfer Programs: Intensive versus Extensive Labor Supply Responses,Emmanuel Saez (2002),https://openalex.org/W2325247757,14,0.011864406779661017,https://openalex.org/W2524948883,20,0.015432098765432098,https://openalex.org/W3121920701,626,0.023958054269202802
1,employment,real freedom,taxation wage subsidy,Biology,45,0.10067114093959731,James Tobin,Freedom and Security: An Introduction to the Basic Income Debate,Rodney Haddow et Tony Fitzpatrick (2001),Freedom and Security: An Introduction to the Basic Income Debate,Rodney Haddow et Tony Fitzpatrick (2001),The Myth of Ownership,Liam Murphy et Thomas Nagel (2002),https://openalex.org/W580935276,13,0.011016949152542373,https://openalex.org/W580935276,19,0.014660493827160493,https://openalex.org/W2489309746,616,0.023575337747330553
1,security,labor supply,gender based taxation,Geography,29,0.06487695749440715,Cathal O’Donoghue,On reforming the welfare system,Bernard Fortin et al. (1993),Is income security possible in a capitalist economy?,Samuel Bowles (1992),Some Ordinalist-Utilitarian Notes on Rawls's Theory of Justice,John Rawls (1973),https://openalex.org/W1483340052,13,0.011016949152542373,https://openalex.org/W1585794985,17,0.013117283950617283,https://openalex.org/W2293621092,606,0.0231926212254583
1,taxation,european country,versus unemployment insurance,Psychology,24,0.053691275167785234,Guy Standing,Public Economics in Action,Anthony B. Atkinson (1996),Do more equal slices shrink the cake? An empirical investigation of tax-transfer reform proposals in Italy,Rolf Aaberge et al. (2004),Using Elasticities to Derive Optimal Income Tax Rates,Emmanuel Saez (2001),https://openalex.org/W3147703848,12,0.010169491525423728,https://openalex.org/W2027029055,15,0.011574074074074073,https://openalex.org/W2265679842,600,0.022962991312334955
1,south,tax credit,empirical optimal taxation,Chemistry,22,0.049217002237136466,Joseph A. Pechman,Is a Negative Income Tax Practical?,James Tobin et al. (1967),"Professor Friedman, meet Lady Rhys-Williams: NIT vs. CIT",Jonathan R. Kesselman et Irwin Garfinkel (1978),Aspects of Rational Insurance Purchasing,Jan Mossin (1968),https://openalex.org/W4256487331,12,0.010169491525423728,https://openalex.org/W2066344131,15,0.011574074074074073,https://openalex.org/W3122616055,553,0.02116422365953538
1,negative,tax transfer,case europe empirical,Physics,21,0.04697986577181208,Peter Mieszkowski,Why Surfers Should Be Fed: The Liberal Case for an Unconditional Basic Income,Philippe Van Parijs (2017),"Labour supply in Italy: an empirical analysis of joint household decisions, with taxes and quantity constraints",Rolf Aaberge et al. (1999),Redistributive taxation as social insurance,Hal R. Varian (1980),https://openalex.org/W1921013935,12,0.010169491525423728,https://openalex.org/W2003118126,15,0.011574074074074073,https://openalex.org/W2126322416,536,0.02051360557235256
1,africa,social welfare,europe empirical optimal,Medicine,17,0.03803131991051454,Irwin Garfinkel,Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),A Basic Income for All,Philippe Van Parijs (2000),Real National Income,Amartya Sen (1976),https://openalex.org/W2168139370,11,0.009322033898305085,https://openalex.org/W2897378659,14,0.010802469135802469,https://openalex.org/W1979954303,445,0.01703088522331509
1,minimum,poverty south,tax transfer system,History,15,0.03355704697986577,A. B. Atkinson,"Basic Income, Inequality, and Unemployment: Rethinking the Linkage between Work and Welfare",Chris Clark et C. J. Kavanagh (1996),On reforming the welfare system,Bernard Fortin et al. (1993),Optimal Redistributive Taxation When Individual Welfare Depends Upon Relative Income,Michael J. Boskin et Eytan Sheshinski (1978),https://openalex.org/W2524948883,11,0.009322033898305085,https://openalex.org/W1483340052,14,0.010802469135802469,https://openalex.org/W1990206896,377,0.014428412874583796
2,social,welfare state,real freedom capitalism,Economics,903,0.8299632352941176,Philippe Van Parijs,Basic Income,Philippe Van Parijs et Yannick Vanderborght (2017),Basic Income,Philippe Van Parijs et Yannick Vanderborght (2017),What Is the Point of Equality?,Elizabeth Anderson (1999),https://openalex.org/W4249308963,112,0.02329450915141431,https://openalex.org/W4249308963,171,0.03338539632955877,https://openalex.org/W2061596374,2372,0.064577604748033
2,welfare,social policy,european welfare state,Political science,837,0.7693014705882353,Jürgen De Wispelaere,Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),On the Currency of Egalitarian Justice,G. A. Cohen (1989),https://openalex.org/W2325247757,109,0.02267054908485857,https://openalex.org/W2325247757,147,0.028699726669269815,https://openalex.org/W1970380565,2232,0.060766110369987206
2,state,real freedom,welfare state perspective,Sociology,514,0.4724264705882353,Yannick Vanderborght,Basic Income: A Simple and Powerful Idea for the Twenty-First Century,Philippe Van Parijs (2004),Basic Income: A Simple and Powerful Idea for the Twenty-First Century,Philippe Van Parijs (2004),Trust and Antitrust,Annette C. Baier (1986),https://openalex.org/W2006784025,83,0.017262895174708817,https://openalex.org/W2006784025,131,0.02557594689574385,https://openalex.org/W2058583438,1908,0.05194522338079551
2,policy,technological unemployment,conditional cash transfer,Computer science,314,0.28860294117647056,Karl Widerquist,Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),The Case for a Participation Income,Anthony B. Atkinson (1996),"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",Luciano Floridi et al. (2018),https://openalex.org/W2168139370,67,0.013935108153078203,https://openalex.org/W1980797821,94,0.018352206169465052,https://openalex.org/W2902634493,1014,0.02760610928098881
