countries_0,countries_1,countries_2,countries_3,Topics,year
0,0,0,0,community_4,1960
0,0,0,0,community_4,1961
0,0,0,0,community_4,1962
0,0,0,0,community_4,1963
0,0,0,0,community_4,1964
0,0,0,0,community_4,1965
0,0,0,0,community_4,1966
0,0,0,0,community_4,1967
0,0,0,0,community_4,1968
0,0,0,0,community_4,1969
0,0,0,0,community_4,1970
0,0,0,0,community_4,1971
0,0,0,0,community_4,1972
0,0,0,0,community_4,1973
0,0,0,0,community_4,1974
0,0,0,0,community_4,1975
0,0,0,0,community_4,1976
0,0,0,0,community_4,1977
0,0,0,0,community_4,1978
0,0,0,0,community_4,1979
0,0,0,0,community_4,1980
0,0,0,0,community_4,1981
0,0,0,0,community_4,1982
0,0,0,0,community_4,1983
0,0,0,0,community_4,1984
0,0,0,0,community_4,1985
0,0,0,0,community_4,1986
0,0,0,0,community_4,1987
0,0,0,0,community_4,1988
0,0,0,0,community_4,1989
0,0,1,0,community_4,1990
0,0,0,0,community_4,1991
0,0,0,0,community_4,1992
0,0,0,0,community_4,1993
0,0,0,0,community_4,1994
0,0,0,0,community_4,1995
0,0,0,0,community_4,1996
0,0,0,0,community_4,1997
0,0,1,0,community_4,1998
0,0,1,0,community_4,1999
2,0,0,0,community_4,2000
0,0,0,1,community_4,2001
1,0,0,0,community_4,2002
0,0,0,0,community_4,2003
0,0,0,0,community_4,2004
2,1,0,0,community_4,2005
0,0,0,0,community_4,2006
0,0,0,0,community_4,2007
8,1,0,0,community_4,2008
0,0,1,0,community_4,2009
1,1,3,0,community_4,2010
1,0,4,0,community_4,2011
0,1,5,1,community_4,2012
1,0,5,1,community_4,2013
1,0,5,0,community_4,2014
1,1,4,0,community_4,2015
0,2,0,0,community_4,2016
2,1,4,2,community_4,2017
3,4,1,1,community_4,2018
20,4,15,9,community_4,2019
1,5,12,3,community_4,2020
