community,tf_idf_term1,tf_idf_term2,tf_idf_term3,discipline,n_discipline,share_discipline,author_most_used,title_most_used_ref,bib_most_used_ref,title_most_cited_UBI,bib_most_cited_UBI,title_most_cited_global,bib_most_cited_global,id_most_used_ref,n_most_used_ref,share_most_used_ref,id_most_cited_UBI,n_most_cited_UBI,share_most_cited_UBI,id_most_cited_global,n_most_cited_global,share_most_cited_global
1,social,south africa,poverty south africa,Economics,279,0.9147540983606557,Philippe Van Parijs,Public economics in action: the basic income/flat tax proposal,,Public economics in action: the basic income/flat tax proposal,,"The General Theory of Employment, Interest and Money, <i>by John Maynard Keynes</i>",John Maynard Keynes (1936),https://openalex.org/W1489554691,27,0.03391959798994975,https://openalex.org/W1489554691,42,0.04941176470588235,https://openalex.org/W2013860961,3492,0.3370981754995656
1,policy,job guarantee,full employment social,Political science,185,0.6065573770491803,Anthony B. Atkinson,Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),Real freedom for all,Philippe Van Parijs (1995),The Theory of Wages.,G. F. Shove et John Hicks (1933),https://openalex.org/W2168139370,14,0.017587939698492462,https://openalex.org/W1676072121,31,0.036470588235294116,https://openalex.org/W2798213597,653,0.0630369726807607
1,welfare,full employment,reform south africa,Sociology,93,0.30491803278688523,Karl Widerquist,Is income security possible in a capitalist economy?,Samuel Bowles (1992),"Basic Income, Inequality, and Unemployment: Rethinking the Linkage between Work and Welfare",Chris Clark et C. J. Kavanagh (1996),The Decline of the Male Breadwinner Model: Implications for Work and Care,Jane Lewis (2001),https://openalex.org/W1585794985,13,0.016331658291457288,https://openalex.org/W2524948883,20,0.023529411764705882,https://openalex.org/W1968337168,630,0.060816681146828845
1,unemployment,social security,efficiency argument guaranteed,Computer science,88,0.28852459016393445,Loek Groot,Freedom and Security: An Introduction to the Basic Income Debate,Rodney Haddow et Tony Fitzpatrick (2001),Real Freedom for All,Philippe Van Parijs (1997),On the Economic Theory of Socialism: Part One,Oskar Lange (1936),https://openalex.org/W580935276,12,0.01507537688442211,https://openalex.org/W4251598620,19,0.02235294117647059,https://openalex.org/W4251950452,445,0.042957814460855295
1,south,welfare state,freedom poverty freedom,Philosophy,70,0.22950819672131148,Martin Watts,Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),Freedom and Security: An Introduction to the Basic Income Debate,Rodney Haddow et Tony Fitzpatrick (2001),"Chronic Poverty in South Africa: Incidence, Causes and Policies",Michael Aliber (2003),https://openalex.org/W2325247757,12,0.01507537688442211,https://openalex.org/W580935276,19,0.02235294117647059,https://openalex.org/W2008201778,269,0.025967757505550727
1,africa,real freedom,poverty freedom work,Engineering,68,0.22295081967213115,Chris Clark,Why Surfers Should Be Fed: The Liberal Case for an Unconditional Basic Income,Philippe Van Parijs (2017),Is income security possible in a capitalist economy?,Samuel Bowles (1992),"POVERTY, TNEQUALTTY, AND FAMTLY LIVING STANDARDS IMPACTS ACROSS SEVEN NATIONS: THE EFFECT OF NONCASH SUBSIDIES FOR HEALTH, EDUCATION AND HOUSING",Timothy M. Smeeding et al. (1993),https://openalex.org/W1921013935,12,0.01507537688442211,https://openalex.org/W1585794985,17,0.02,https://openalex.org/W2022199004,268,0.02587122309103195
1,job,right work,south solidarity grant,Mathematics,66,0.21639344262295082,William Mitchell,Real freedom for all,Philippe Van Parijs (1995),"Basic Income: Freedom from Poverty, Freedom to Work",Tony Walter (1989),Market Socialism: A Case for Rejuvenation,Pranab Bardhan et John E. Roemer (1992),https://openalex.org/W1676072121,10,0.01256281407035176,https://openalex.org/W3142606906,17,0.02,https://openalex.org/W2151144106,183,0.017665797856936
1,employment,guaranteed minimum,efficiency market socialism,Business,59,0.19344262295081968,Peter Saunders,"Basic Income, Inequality, and Unemployment: Rethinking the Linkage between Work and Welfare",Chris Clark et C. J. Kavanagh (1996),Basic Income and the Two Dilemmas of the Welfare State,Philippe Van Parijs (1996),Two Worlds of Pension Reform in Western Europe,Giuliano Bonoli (2003),https://openalex.org/W2524948883,10,0.01256281407035176,https://openalex.org/W2006814807,16,0.018823529411764704,https://openalex.org/W2324547290,152,0.014673231006853943
1,guarantee,poverty south,labour market job,Biology,40,0.13114754098360656,Holly Sutherland,"Basic Income: Freedom from Poverty, Freedom to Work",Tony Walter (1989),Basic Income Capitalism,Philippe Van Parijs (1992),Real freedom for all,Philippe Van Parijs (1995),https://openalex.org/W3142606906,10,0.01256281407035176,https://openalex.org/W2164320609,15,0.01764705882352941,https://openalex.org/W1676072121,148,0.01428709334877884
1,europe,market socialism,reform capitalist social,Geography,23,0.07540983606557378,Tony Fitzpatrick,The Second Marriage of Justice and Efficiency,Philippe Van Parijs (1990),A Basic Income for All,Philippe Van Parijs (2000),An Experimental Examination of Labor Supply and Work Intensities,David L. Dickinson (1999),https://openalex.org/W2003199800,10,0.01256281407035176,https://openalex.org/W2897378659,14,0.01647058823529412,https://openalex.org/W1967361306,125,0.012066801814846992
