countries_0,countries_1,countries_2,countries_3,Topics,year
0,0,0,0,community_5,1960
0,0,0,0,community_5,1961
0,0,0,0,community_5,1962
0,0,0,0,community_5,1963
0,0,0,0,community_5,1964
0,0,0,0,community_5,1965
0,0,0,0,community_5,1966
0,0,0,0,community_5,1967
0,0,0,0,community_5,1968
0,0,0,0,community_5,1969
0,0,0,0,community_5,1970
0,0,0,0,community_5,1971
0,0,0,0,community_5,1972
0,0,0,0,community_5,1973
0,0,0,0,community_5,1974
0,0,0,0,community_5,1975
0,0,0,0,community_5,1976
0,0,0,0,community_5,1977
0,0,0,0,community_5,1978
0,0,0,0,community_5,1979
0,0,0,0,community_5,1980
0,0,0,0,community_5,1981
0,0,0,0,community_5,1982
0,0,0,0,community_5,1983
1,0,0,0,community_5,1984
0,0,0,0,community_5,1985
0,0,0,0,community_5,1986
0,0,0,0,community_5,1987
0,0,0,0,community_5,1988
0,0,0,0,community_5,1989
0,0,0,0,community_5,1990
0,0,0,0,community_5,1991
0,0,0,0,community_5,1992
0,0,0,0,community_5,1993
0,0,0,0,community_5,1994
0,0,0,0,community_5,1995
0,0,0,0,community_5,1996
0,0,0,0,community_5,1997
0,0,0,0,community_5,1998
0,0,0,0,community_5,1999
0,1,0,0,community_5,2000
0,1,0,0,community_5,2001
0,4,0,0,community_5,2002
0,2,1,0,community_5,2003
0,1,0,0,community_5,2004
0,1,0,0,community_5,2005
0,0,3,0,community_5,2006
0,0,0,0,community_5,2007
0,2,5,0,community_5,2008
0,1,0,0,community_5,2009
1,0,0,0,community_5,2010
2,0,6,0,community_5,2011
1,0,2,0,community_5,2012
0,2,6,0,community_5,2013
0,0,1,0,community_5,2014
2,0,2,0,community_5,2015
0,0,0,0,community_5,2016
0,0,4,0,community_5,2017
0,0,0,0,community_5,2018
0,0,3,0,community_5,2019
0,1,0,0,community_5,2020
