,id_most_used_ref,n_most_used_ref,share_most_used_ref,author_most_used,id_most_cited_UBI,n_most_cited_UBI,share_most_cited_UBI,id_most_cited_global,n_most_cited_global,share_most_cited_global,community,title_most_used_ref,bib_most_used_ref,title_most_cited_global,bib_most_cited_global,title_most_cited_UBI,bib_most_cited_UBI
0,https://openalex.org/W2325247757,5.0,0.125,Philippe Van Parijs,https://openalex.org/W2325247757,147,0.3730964467005076,https://openalex.org/W2041506376,401,0.2420036210018105,1,Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),"Fairness, Respect, and the Egalitarian Ethos",Jonathan Wolff (1998),Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996)
1,https://openalex.org/W1970380565,3.0,0.075,G. A. Cohen,https://openalex.org/W1980797821,94,0.23857868020304568,https://openalex.org/W1984038142,220,0.1327700663850332,1,On the Currency of Egalitarian Justice,G. A. Cohen (1989),Proactive behaviour in unemployment: findings and implications,David Fryer et Roy Payne (1984),The Case for a Participation Income,Anthony B. Atkinson (1996)
2,https://openalex.org/W3142606906,3.0,0.075,Tony Walter,https://openalex.org/W2005214261,32,0.08121827411167512,https://openalex.org/W2169085243,220,0.1327700663850332,1,"Basic Income: Freedom from Poverty, Freedom to Work",Tony Walter (1989),Popular support for institutionalised solidarity: a comparison between European welfare states,J.P.T.M. Gelissen (2000),Real Freedom and Basic Income,Brian Barry (1996)
3,https://openalex.org/W2168139370,3.0,0.075,Stuart White,https://openalex.org/W2094445047,19,0.048223350253807105,https://openalex.org/W2325247757,200,0.12070006035003017,1,Arguing for Basic Income: Ethical Foundations for a Radical Reform,Philippe Van Parijs (1992),Real Freedom for All: What (If Anything) can Justify Capitalism?,Philippe Van Parijs (1996),Real Freedom versus Reciprocity: Competing Views on the Justice of Unconditional Basic Income,Robert J. van der Veen (1998)
4,https://openalex.org/W2017475875,2.0,0.05,Oskar Lange,https://openalex.org/W4251598620,19,0.048223350253807105,https://openalex.org/W1980797821,193,0.11647555823777912,1,"Liberal Equality, Exploitation, and the Case for an Unconditional Basic Income",Stuart White (1997),The Case for a Participation Income,Anthony B. Atkinson (1996),Real Freedom for All,Philippe Van Parijs (1997)
5,https://openalex.org/W2005214261,1.0,0.025,Robert J. van der Veen,https://openalex.org/W2041506376,14,0.03553299492385787,https://openalex.org/W4251598620,65,0.03922751961375981,1,Real Freedom and Basic Income,Brian Barry (1996),Real Freedom for All,Philippe Van Parijs (1997),"Fairness, Respect, and the Egalitarian Ethos",Jonathan Wolff (1998)
6,https://openalex.org/W1585794985,1.0,0.025,Brian Barry,https://openalex.org/W2069258717,9,0.02284263959390863,https://openalex.org/W2074363189,64,0.03862401931200966,1,Is income security possible in a capitalist economy?,Samuel Bowles (1992),HIERARCHICAL CHOICE IN ECONOMICS,Stavros A. Drakopoulos (1994),Reciprocity and the Justification of an Unconditional Basic Income. Reply to Stuart White,Philippe Van Parijs (1997)
7,https://openalex.org/W1970863805,1.0,0.025,Samuel Bowles,https://openalex.org/W2125286656,9,0.02284263959390863,https://openalex.org/W2005214261,54,0.032589016294508145,1,Why something like socialism is necessary for the transition to something like communism,Erik Olín Wright (1986),Real Freedom and Basic Income,Brian Barry (1996),Demoralizing the Labour Market: Could Jobs be like Cars and Concerts?*,Bert Hamminga (1995)
8,https://openalex.org/W2000121503,1.0,0.025,Erik Olín Wright,https://openalex.org/W2029081418,8,0.02030456852791878,https://openalex.org/W1968867546,44,0.026554013277006638,1,"Full Employment, New Technologies and the Distribution of Income",J. E. Meade (1984),Communitarianism and law and order,Gordon Hughes (1996),Justice and a Citizens' Basic Income,Colin Farrelly (1999)
9,https://openalex.org/W2003199800,1.0,0.025,J. E. Meade,https://openalex.org/W2169085243,7,0.017766497461928935,https://openalex.org/W2094445047,29,0.017501508750754374,1,The Second Marriage of Justice and Efficiency,Philippe Van Parijs (1990),Real Freedom versus Reciprocity: Competing Views on the Justice of Unconditional Basic Income,Robert J. van der Veen (1998),Popular support for institutionalised solidarity: a comparison between European welfare states,J.P.T.M. Gelissen (2000)
