countries_0,countries_1,countries_2,countries_3,year
,,,,1966
,,,,1967
,0.0,,,1968
,,,,1969
,0.0,,,1970
,0.0,,0.0,1971
,,,0.0,1972
,0.0,0.0,0.0,1973
,0.0,0.0,,1974
0.0,0.3333333333333333,,0.0,1975
0.0,0.0,,,1976
,0.0,,0.0,1977
0.0,0.0,,,1978
,0.0,,0.0,1979
,0.0,,0.0,1980
,0.0,,0.0,1981
,0.0,,,1982
,0.0,,,1983
0.0,0.0,0.0,,1984
,0.0,0.0,,1985
0.0,0.0,,0.0,1986
0.0,0.0,,0.0,1987
0.3333333333333333,0.0,,1.0,1988
0.0,0.0,0.0,0.0,1989
0.0,0.0,0.0,,1990
0.0,,,0.0,1991
0.0,0.0,,0.0,1992
0.0,0.0,,0.0,1993
0.0,0.0,0.0,0.0,1994
0.0,0.0,,0.0,1995
0.0,0.0,,0.0,1996
0.0,0.0,0.0,0.0,1997
0.0,0.0,0.0,0.0,1998
0.0,0.0,0.0,0.0,1999
0.0,0.0,0.0,0.0,2000
0.0,0.0,0.0,0.0,2001
0.0,0.0,0.0,,2002
0.0,0.07142857142857142,0.0,0.0,2003
0.0,0.0,0.0,0.0,2004
0.0,0.0,0.0,0.0,2005
0.0,0.0,0.1,0.0,2006
0.0,0.0,0.0,0.0,2007
0.1111111111111111,0.06666666666666667,0.2857142857142857,0.0,2008
0.0,0.0,0.0,0.0,2009
0.0,0.0,0.0,0.0,2010
0.1111111111111111,0.0,0.2727272727272727,0.0,2011
0.0,0.0,0.0,0.0,2012
0.0,0.0,0.18181818181818182,0.0,2013
0.0,0.09090909090909091,0.045454545454545456,0.0,2014
0.0625,0.0,0.14285714285714285,0.0,2015
0.0,0.0,0.0,0.0,2016
0.0,0.0,0.06666666666666667,0.0,2017
0.0,0.0,0.03333333333333333,0.0,2018
0.0,0.0,0.03125,0.0,2019
0.0,0.01694915254237288,0.07692307692307693,0.0,2020
